date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,2.5,1000,5,0.0520419,0.0104084,0.00996625,0.00138991,1
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,2.5,1000,5,0.0767071,0.0153414,0.0150856,0.0013151,1
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,2.5,1000,5,0.052955,0.010591,0.0102778,0.00146886,1
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Square,2.5,1000,5,0.0939007,0.0187801,0.018245,0.00101153,1
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,5,1000,5,0.175427,0.0350853,0.0350257,0.00110113,1
2024-12-04-23:43:19,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,5,1000,5,0.249236,0.0498472,0.0496779,0.00181624,1
2024-12-04-23:43:20,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,5,1000,5,0.175893,0.0351786,0.0345247,0.00101818,1
2024-12-04-23:43:20,pointer <Lpoint> unsorted,14196538,neighSearch,Square,5,1000,5,0.245064,0.0490128,0.0479312,0.00150624,1
2024-12-04-23:43:20,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,7.5,1000,5,0.366498,0.0732996,0.0734788,0.000405119,1
2024-12-04-23:43:21,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,7.5,1000,5,0.453289,0.0906579,0.0890274,0.00331798,1
2024-12-04-23:43:21,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,7.5,1000,5,0.363098,0.0726195,0.0726436,0.00254974,1
2024-12-04-23:43:22,pointer <Lpoint> unsorted,14196538,neighSearch,Square,7.5,1000,5,0.532734,0.106547,0.102768,0.0062915,1
2024-12-04-23:43:23,pointer <Lpoint> unsorted,14196538,neighSearch,Sphere,10,1000,5,0.658621,0.131724,0.137255,0.0133274,1
2024-12-04-23:43:24,pointer <Lpoint> unsorted,14196538,neighSearch,Circle,10,1000,5,0.689305,0.137861,0.135097,0.00639581,1
2024-12-04-23:43:24,pointer <Lpoint> unsorted,14196538,neighSearch,Cube,10,1000,5,0.559408,0.111882,0.112636,0.00266789,1
2024-12-04-23:43:25,pointer <Lpoint> unsorted,14196538,neighSearch,Square,10,1000,5,0.630804,0.126161,0.126276,0.00320496,1
2024-12-04-23:43:25,pointer <Lpoint> unsorted,14196538,numNeighSearch,Sphere,2.5,1000,5,0.0482864,0.00965728,0.00896099,0.00116447,1
2024-12-04-23:43:25,pointer <Lpoint> unsorted,14196538,numNeighSearch,Circle,2.5,1000,5,0.0758083,0.0151617,0.0147885,0.00159339,1
2024-12-04-23:43:25,pointer <Lpoint> unsorted,14196538,numNeighSearch,Cube,2.5,1000,5,0.0518896,0.0103779,0.00921308,0.00188328,1
2024-12-04-23:43:25,pointer <Lpoint> unsorted,14196538,numNeighSearch,Square,2.5,1000,5,0.075907,0.0151814,0.0160335,0.0012424,1
2024-12-04-23:43:26,pointer <Lpoint> unsorted,14196538,numNeighSearch,Sphere,5,1000,5,0.128812,0.0257623,0.024369,0.00242411,1
2024-12-04-23:43:26,pointer <Lpoint> unsorted,14196538,numNeighSearch,Circle,5,1000,5,0.191748,0.0383496,0.0384488,0.00105418,1
2024-12-04-23:43:26,pointer <Lpoint> unsorted,14196538,numNeighSearch,Cube,5,1000,5,0.142394,0.0284789,0.0296708,0.00231312,1
2024-12-04-23:43:26,pointer <Lpoint> unsorted,14196538,numNeighSearch,Square,5,1000,5,0.207858,0.0415715,0.0409299,0.00118782,1
2024-12-04-23:43:27,pointer <Lpoint> unsorted,14196538,numNeighSearch,Sphere,7.5,1000,5,0.30074,0.060148,0.0605564,0.00353242,1
