date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-23:45:26,linear <Lpoint> ,17747769,neighSearch,Sphere,5,1000,5,0.182255,0.0364511,0.0368511,0.00107281,1
2024-12-04-23:45:26,linear <Lpoint> ,17747769,neighSearch,Circle,5,1000,5,0.334971,0.0669941,0.0660971,0.0029738,1
2024-12-04-23:45:26,linear <Lpoint> ,17747769,neighSearch,Cube,5,1000,5,0.16912,0.0338241,0.0341116,0.00064099,1
2024-12-04-23:45:27,linear <Lpoint> ,17747769,neighSearch,Square,5,1000,5,0.343809,0.0687619,0.0695431,0.00211787,1
2024-12-04-23:45:27,linear <Lpoint> ,17747769,neighSearch,Sphere,7.5,1000,5,0.393137,0.0786275,0.0773753,0.00361088,1
2024-12-04-23:45:28,linear <Lpoint> ,17747769,neighSearch,Circle,7.5,1000,5,0.609761,0.121952,0.120613,0.00444382,1
2024-12-04-23:45:28,linear <Lpoint> ,17747769,neighSearch,Cube,7.5,1000,5,0.392007,0.0784014,0.0773879,0.0019007,1
2024-12-04-23:45:29,linear <Lpoint> ,17747769,neighSearch,Square,7.5,1000,5,0.589474,0.117895,0.117798,0.00321737,1
2024-12-04-23:45:30,linear <Lpoint> ,17747769,neighSearch,Sphere,10,1000,5,0.62926,0.125852,0.126212,0.00372198,1
2024-12-04-23:45:31,linear <Lpoint> ,17747769,neighSearch,Circle,10,1000,5,0.968794,0.193759,0.195357,0.00456833,1
2024-12-04-23:45:32,linear <Lpoint> ,17747769,neighSearch,Cube,10,1000,5,0.632912,0.126582,0.126208,0.00162152,1
2024-12-04-23:45:33,linear <Lpoint> ,17747769,neighSearch,Square,10,1000,5,0.894027,0.178805,0.178579,0.00642367,1
2024-12-04-23:45:33,linear <Lpoint> ,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0698478,0.0139696,0.0150907,0.00144626,1
2024-12-04-23:45:33,linear <Lpoint> ,17747769,numNeighSearch,Circle,2.5,1000,5,0.142086,0.0284172,0.0276021,0.00102182,1
2024-12-04-23:45:33,linear <Lpoint> ,17747769,numNeighSearch,Cube,2.5,1000,5,0.0667476,0.0133495,0.0153389,0.0024686,1
2024-12-04-23:45:33,linear <Lpoint> ,17747769,numNeighSearch,Square,2.5,1000,5,0.148888,0.0297776,0.0296416,0.000256545,1
2024-12-04-23:45:34,linear <Lpoint> ,17747769,numNeighSearch,Sphere,5,1000,5,0.194363,0.0388726,0.0389396,0.000190035,1
2024-12-04-23:45:34,linear <Lpoint> ,17747769,numNeighSearch,Circle,5,1000,5,0.344837,0.0689675,0.0689708,0.00014789,1
2024-12-04-23:45:34,linear <Lpoint> ,17747769,numNeighSearch,Cube,5,1000,5,0.192313,0.0384626,0.0384156,0.000154252,1
2024-12-04-23:45:35,linear <Lpoint> ,17747769,numNeighSearch,Square,5,1000,5,0.340203,0.0680406,0.0684427,0.0019109,1
2024-12-04-23:45:35,linear <Lpoint> ,17747769,numNeighSearch,Sphere,7.5,1000,5,0.386493,0.0772987,0.0755574,0.00260448,1
2024-12-04-23:45:36,linear <Lpoint> ,17747769,numNeighSearch,Circle,7.5,1000,5,0.569008,0.113802,0.113476,0.00270963,1
2024-12-04-23:45:36,linear <Lpoint> ,17747769,numNeighSearch,Cube,7.5,1000,5,0.396582,0.0793164,0.0801892,0.00207921,1
2024-12-04-23:45:37,linear <Lpoint> ,17747769,numNeighSearch,Square,7.5,1000,5,0.596285,0.119257,0.119474,0.0027746,1
2024-12-04-23:45:38,linear <Lpoint> ,17747769,numNeighSearch,Sphere,10,1000,5,0.623049,0.12461,0.125943,0.00563603,1
2024-12-04-23:45:39,linear <Lpoint> ,17747769,numNeighSearch,Circle,10,1000,5,0.928398,0.18568,0.18646,0.00368457,1
2024-12-04-23:45:40,linear <Lpoint> ,17747769,numNeighSearch,Cube,10,1000,5,0.645598,0.12912,0.128656,0.00247211,1
2024-12-04-23:45:41,linear <Lpoint> ,17747769,numNeighSearch,Square,10,1000,5,0.944272,0.188854,0.196587,0.0104648,1
2024-12-04-23:45:44,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,2.5,1000,5,0.0674473,0.0134895,0.0135522,0.0012509,1
2024-12-04-23:45:45,pointer <Lpoint> sorted,17747769,neighSearch,Circle,2.5,1000,5,0.125975,0.025195,0.0248526,0.00044226,1
2024-12-04-23:45:45,pointer <Lpoint> sorted,17747769,neighSearch,Cube,2.5,1000,5,0.0745353,0.0149071,0.0151061,0.000805832,1
2024-12-04-23:45:45,pointer <Lpoint> sorted,17747769,neighSearch,Square,2.5,1000,5,0.137538,0.0275077,0.027316,0.000521343,1
2024-12-04-23:45:45,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,5,1000,5,0.204329,0.0408657,0.0398674,0.00252503,1
2024-12-04-23:45:45,pointer <Lpoint> sorted,17747769,neighSearch,Circle,5,1000,5,0.330194,0.0660387,0.0668717,0.00162914,1
2024-12-04-23:45:46,pointer <Lpoint> sorted,17747769,neighSearch,Cube,5,1000,5,0.218799,0.0437599,0.0441733,0.00236372,1
2024-12-04-23:45:46,pointer <Lpoint> sorted,17747769,neighSearch,Square,5,1000,5,0.330627,0.0661254,0.0653729,0.0014501,1
2024-12-04-23:45:47,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,7.5,1000,5,0.428314,0.0856629,0.0845555,0.00352575,1
2024-12-04-23:45:47,pointer <Lpoint> sorted,17747769,neighSearch,Circle,7.5,1000,5,0.617896,0.123579,0.125821,0.00478135,1
2024-12-04-23:45:48,pointer <Lpoint> sorted,17747769,neighSearch,Cube,7.5,1000,5,0.415832,0.0831665,0.0828597,0.00180479,1
2024-12-04-23:45:49,pointer <Lpoint> sorted,17747769,neighSearch,Square,7.5,1000,5,0.650769,0.130154,0.129976,0.00231936,1
2024-12-04-23:45:50,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,10,1000,5,0.766328,0.153266,0.15243,0.00351006,1
2024-12-04-23:45:51,pointer <Lpoint> sorted,17747769,neighSearch,Circle,10,1000,5,1.00377,0.200754,0.19854,0.00496478,1
2024-12-04-23:45:52,pointer <Lpoint> sorted,17747769,neighSearch,Cube,10,1000,5,0.684079,0.136816,0.131427,0.00814646,1
2024-12-04-23:45:53,pointer <Lpoint> sorted,17747769,neighSearch,Square,10,1000,5,1.00206,0.200412,0.199763,0.00552897,1
2024-12-04-23:45:53,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0716201,0.014324,0.0139493,0.001201,1
2024-12-04-23:45:53,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,2.5,1000,5,0.129889,0.0259779,0.0265715,0.00135386,1
2024-12-04-23:45:53,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,2.5,1000,5,0.0786306,0.0157261,0.0163956,0.00176758,1
2024-12-04-23:45:53,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,2.5,1000,5,0.1273,0.0254601,0.0246121,0.00136836,1
