date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-22:09:10,linear <Lpoint> ,721810646,neighSearch,Circle,1,1000,5,5.31475,1.06295,1.07468,0.019121,1
2024-12-04-22:09:11,linear <Lpoint> ,721810646,neighSearch,Cube,1,1000,5,1.28899,0.257798,0.259963,0.00470966,1
2024-12-04-22:09:18,linear <Lpoint> ,721810646,neighSearch,Square,1,1000,5,5.42714,1.08543,1.08741,0.00720114,1
2024-12-04-22:09:27,linear <Lpoint> ,721810646,neighSearch,Sphere,2.5,1000,5,7.64729,1.52946,1.5205,0.0159102,1
2024-12-04-22:09:54,linear <Lpoint> ,721810646,neighSearch,Circle,2.5,1000,5,22.7046,4.54093,4.57304,0.0859783,1
2024-12-04-22:10:04,linear <Lpoint> ,721810646,neighSearch,Cube,2.5,1000,5,8.15867,1.63173,1.63111,0.014331,1
2024-12-04-22:10:32,linear <Lpoint> ,721810646,neighSearch,Square,2.5,1000,5,23.1946,4.63892,4.64382,0.0238596,1
2024-12-04-22:11:16,linear <Lpoint> ,721810646,neighSearch,Sphere,5,1000,5,37.0191,7.40382,7.39194,0.0562018,1
2024-12-04-22:12:46,linear <Lpoint> ,721810646,neighSearch,Circle,5,1000,5,75.1669,15.0334,15.0124,0.0338994,1
2024-12-04-22:13:33,linear <Lpoint> ,721810646,neighSearch,Cube,5,1000,5,39.302,7.8604,7.81258,0.166441,1
2024-12-04-22:15:09,linear <Lpoint> ,721810646,neighSearch,Square,5,1000,5,79.034,15.8068,15.8146,0.0524679,1
2024-12-04-22:15:10,linear <Lpoint> ,721810646,numNeighSearch,Sphere,0.5,1000,5,0.392735,0.078547,0.079188,0.000990244,1
2024-12-04-22:15:12,linear <Lpoint> ,721810646,numNeighSearch,Circle,0.5,1000,5,1.9508,0.39016,0.388819,0.00853801,1
2024-12-04-22:15:12,linear <Lpoint> ,721810646,numNeighSearch,Cube,0.5,1000,5,0.370076,0.0740151,0.0749136,0.00189285,1
2024-12-04-22:15:15,linear <Lpoint> ,721810646,numNeighSearch,Square,0.5,1000,5,1.95377,0.390755,0.386736,0.0118256,1
2024-12-04-22:15:16,linear <Lpoint> ,721810646,numNeighSearch,Sphere,1,1000,5,1.20865,0.24173,0.241225,0.000974637,1
2024-12-04-22:15:22,linear <Lpoint> ,721810646,numNeighSearch,Circle,1,1000,5,4.92762,0.985524,0.996484,0.0151276,1
2024-12-04-22:15:24,linear <Lpoint> ,721810646,numNeighSearch,Cube,1,1000,5,1.19035,0.23807,0.238074,0.00326108,1
2024-12-04-22:15:30,linear <Lpoint> ,721810646,numNeighSearch,Square,1,1000,5,4.93786,0.987571,0.981142,0.0211724,1
2024-12-04-22:15:38,linear <Lpoint> ,721810646,numNeighSearch,Sphere,2.5,1000,5,7.12204,1.42441,1.42811,0.00840752,1
2024-12-04-22:16:02,linear <Lpoint> ,721810646,numNeighSearch,Circle,2.5,1000,5,20.0391,4.00782,4.02173,0.0566376,1
2024-12-04-22:16:11,linear <Lpoint> ,721810646,numNeighSearch,Cube,2.5,1000,5,7.1409,1.42818,1.42543,0.0180842,1
2024-12-04-22:16:35,linear <Lpoint> ,721810646,numNeighSearch,Square,2.5,1000,5,20.2231,4.04462,4.05406,0.0332056,1
2024-12-04-22:17:15,linear <Lpoint> ,721810646,numNeighSearch,Sphere,5,1000,5,32.9711,6.59423,6.59357,0.0518301,1
2024-12-04-22:18:34,linear <Lpoint> ,721810646,numNeighSearch,Circle,5,1000,5,66.3372,13.2674,13.251,0.0583027,1
2024-12-04-22:19:14,linear <Lpoint> ,721810646,numNeighSearch,Cube,5,1000,5,33.1511,6.63023,6.62376,0.0684756,1
2024-12-04-22:20:34,linear <Lpoint> ,721810646,numNeighSearch,Square,5,1000,5,66.8261,13.3652,13.3078,0.217485,1
2024-12-04-22:23:02,pointer <Lpoint> sorted,721810646,neighSearch,Sphere,0.5,1000,5,0.458766,0.0917532,0.0911396,0.00264594,1
2024-12-04-22:23:05,pointer <Lpoint> sorted,721810646,neighSearch,Circle,0.5,1000,5,2.25394,0.450788,0.452775,0.0105342,1
2024-12-04-22:23:05,pointer <Lpoint> sorted,721810646,neighSearch,Cube,0.5,1000,5,0.455515,0.0911031,0.091111,0.000129312,1
2024-12-04-22:23:08,pointer <Lpoint> sorted,721810646,neighSearch,Square,0.5,1000,5,2.22553,0.445106,0.444148,0.00210625,1
2024-12-04-22:23:10,pointer <Lpoint> sorted,721810646,neighSearch,Sphere,1,1000,5,1.43438,0.286876,0.286359,0.00313547,1
2024-12-04-22:23:17,pointer <Lpoint> sorted,721810646,neighSearch,Circle,1,1000,5,5.99228,1.19846,1.18904,0.0389276,1
2024-12-04-22:23:19,pointer <Lpoint> sorted,721810646,neighSearch,Cube,1,1000,5,1.53513,0.307025,0.301911,0.011677,1
2024-12-04-22:23:26,pointer <Lpoint> sorted,721810646,neighSearch,Square,1,1000,5,6.09066,1.21813,1.21975,0.00775496,1
2024-12-04-22:23:37,pointer <Lpoint> sorted,721810646,neighSearch,Sphere,2.5,1000,5,8.85759,1.77152,1.76426,0.0402424,1
2024-12-04-22:24:07,pointer <Lpoint> sorted,721810646,neighSearch,Circle,2.5,1000,5,25.1105,5.02211,5.03954,0.0455317,1
2024-12-04-22:24:18,pointer <Lpoint> sorted,721810646,neighSearch,Cube,2.5,1000,5,9.07499,1.815,1.82112,0.0287824,1
2024-12-04-22:24:48,pointer <Lpoint> sorted,721810646,neighSearch,Square,2.5,1000,5,25.4122,5.08244,5.05472,0.0508837,1
2024-12-04-22:25:39,pointer <Lpoint> sorted,721810646,neighSearch,Sphere,5,1000,5,41.8438,8.36876,8.37038,0.0427242,1
2024-12-04-22:27:21,pointer <Lpoint> sorted,721810646,neighSearch,Circle,5,1000,5,85.5603,17.1121,17.1152,0.0243921,1
2024-12-04-22:28:14,pointer <Lpoint> sorted,721810646,neighSearch,Cube,5,1000,5,44.1634,8.83268,8.84575,0.0284112,1
2024-12-04-22:30:01,pointer <Lpoint> sorted,721810646,neighSearch,Square,5,1000,5,88.7064,17.7413,17.7333,0.072109,1
2024-12-04-22:30:01,pointer <Lpoint> sorted,721810646,numNeighSearch,Sphere,0.5,1000,5,0.451604,0.0903207,0.0888602,0.00308898,1
2024-12-04-22:30:04,pointer <Lpoint> sorted,721810646,numNeighSearch,Circle,0.5,1000,5,2.11449,0.422899,0.420886,0.00506553,1
2024-12-04-22:30:04,pointer <Lpoint> sorted,721810646,numNeighSearch,Cube,0.5,1000,5,0.425307,0.0850613,0.084983,0.000281033,1
2024-12-04-22:30:07,pointer <Lpoint> sorted,721810646,numNeighSearch,Square,0.5,1000,5,2.08523,0.417047,0.412543,0.00707724,1
2024-12-04-22:30:08,pointer <Lpoint> sorted,721810646,numNeighSearch,Sphere,1,1000,5,1.33635,0.267271,0.266936,0.00298394,1
2024-12-04-22:30:15,pointer <Lpoint> sorted,721810646,numNeighSearch,Circle,1,1000,5,5.25854,1.05171,1.06199,0.0218511,1
2024-12-04-22:30:16,pointer <Lpoint> sorted,721810646,numNeighSearch,Cube,1,1000,5,1.33463,0.266925,0.264568,0.00684691,1
2024-12-04-22:30:23,pointer <Lpoint> sorted,721810646,numNeighSearch,Square,1,1000,5,5.42769,1.08554,1.08921,0.0137917,1
2024-12-04-22:30:32,pointer <Lpoint> sorted,721810646,numNeighSearch,Sphere,2.5,1000,5,7.9685,1.5937,1.59649,0.00735941,1
2024-12-04-22:30:59,pointer <Lpoint> sorted,721810646,numNeighSearch,Circle,2.5,1000,5,22.0395,4.40789,4.39254,0.0544928,1
2024-12-04-22:31:09,pointer <Lpoint> sorted,721810646,numNeighSearch,Cube,2.5,1000,5,7.9953,1.59906,1.58359,0.0420404,1
2024-12-04-22:31:36,pointer <Lpoint> sorted,721810646,numNeighSearch,Square,2.5,1000,5,22.3215,4.46431,4.44294,0.0801026,1
2024-12-04-22:32:21,pointer <Lpoint> sorted,721810646,numNeighSearch,Sphere,5,1000,5,38.2871,7.65743,7.65728,0.0758609,1
2024-12-04-22:33:51,pointer <Lpoint> sorted,721810646,numNeighSearch,Circle,5,1000,5,74.9687,14.9937,14.9521,0.147979,1
2024-12-04-22:34:38,pointer <Lpoint> sorted,721810646,numNeighSearch,Cube,5,1000,5,38.5511,7.71021,7.76941,0.120627,1
2024-12-04-22:36:08,pointer <Lpoint> sorted,721810646,numNeighSearch,Square,5,1000,5,74.9258,14.9852,14.9889,0.0409963,1
2024-12-04-22:46:01,pointer <Lpoint64> unsorted,721810646,neighSearch,Sphere,0.5,1000,5,0.390418,0.0780835,0.0808027,0.00494979,1
2024-12-04-22:46:03,pointer <Lpoint64> unsorted,721810646,neighSearch,Circle,0.5,1000,5,1.85506,0.371012,0.369696,0.00297602,1
2024-12-04-22:46:03,pointer <Lpoint64> unsorted,721810646,neighSearch,Cube,0.5,1000,5,0.404223,0.0808446,0.0810211,0.000886349,1
2024-12-04-22:46:06,pointer <Lpoint64> unsorted,721810646,neighSearch,Square,0.5,1000,5,1.90994,0.381988,0.382603,0.0048229,1
2024-12-04-22:46:07,pointer <Lpoint64> unsorted,721810646,neighSearch,Sphere,1,1000,5,1.31126,0.262251,0.26143,0.00232916,1
2024-12-04-22:46:13,pointer <Lpoint64> unsorted,721810646,neighSearch,Circle,1,1000,5,4.59346,0.918692,0.915776,0.00731369,1
2024-12-04-22:46:14,pointer <Lpoint64> unsorted,721810646,neighSearch,Cube,1,1000,5,1.31681,0.263363,0.265029,0.00589149,1
2024-12-04-22:46:20,pointer <Lpoint64> unsorted,721810646,neighSearch,Square,1,1000,5,4.89232,0.978465,0.983108,0.0166244,1
2024-12-04-22:46:29,pointer <Lpoint64> unsorted,721810646,neighSearch,Sphere,2.5,1000,5,7.31168,1.46234,1.46581,0.0273287,1
2024-12-04-22:46:53,pointer <Lpoint64> unsorted,721810646,neighSearch,Circle,2.5,1000,5,19.7353,3.94706,3.96679,0.0614132,1
2024-12-04-22:47:02,pointer <Lpoint64> unsorted,721810646,neighSearch,Cube,2.5,1000,5,7.64721,1.52944,1.52753,0.0235091,1
2024-12-04-22:47:26,pointer <Lpoint64> unsorted,721810646,neighSearch,Square,2.5,1000,5,20.4296,4.08592,4.0734,0.0484708,1
2024-12-04-22:48:06,pointer <Lpoint64> unsorted,721810646,neighSearch,Sphere,5,1000,5,33.3066,6.66132,6.65047,0.0534468,1
2024-12-04-22:49:26,pointer <Lpoint64> unsorted,721810646,neighSearch,Circle,5,1000,5,66.3811,13.2762,13.262,0.185617,1
2024-12-04-22:50:11,pointer <Lpoint64> unsorted,721810646,neighSearch,Cube,5,1000,5,37.5379,7.50758,7.51975,0.150106,1
2024-12-04-22:51:30,pointer <Lpoint64> unsorted,721810646,neighSearch,Square,5,1000,5,65.8036,13.1607,13.0885,0.304412,1
2024-12-04-22:51:30,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Sphere,0.5,1000,5,0.330355,0.0660709,0.0662514,0.00218856,1
2024-12-04-22:51:32,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Circle,0.5,1000,5,1.59457,0.318913,0.316491,0.00427352,1
2024-12-04-22:51:33,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Cube,0.5,1000,5,0.339368,0.0678737,0.0678465,0.00151222,1
2024-12-04-22:51:35,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Square,0.5,1000,5,1.63345,0.326691,0.329249,0.0200189,1
2024-12-04-22:51:36,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Sphere,1,1000,5,1.07716,0.215431,0.215216,0.00303484,1
2024-12-04-22:51:41,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Circle,1,1000,5,4.01783,0.803566,0.797639,0.00896619,1
2024-12-04-22:51:42,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Cube,1,1000,5,0.974052,0.19481,0.192399,0.00457844,1
2024-12-04-22:51:47,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Square,1,1000,5,3.96858,0.793715,0.801159,0.0143811,1
2024-12-04-22:51:54,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Sphere,2.5,1000,5,6.03648,1.2073,1.20845,0.00638999,1
2024-12-04-22:52:13,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Circle,2.5,1000,5,15.9842,3.19684,3.19405,0.00398933,1
2024-12-04-22:52:20,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Cube,2.5,1000,5,5.94475,1.18895,1.1702,0.048851,1
2024-12-04-22:52:40,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Square,2.5,1000,5,15.9415,3.1883,3.19281,0.0153806,1
2024-12-04-22:53:12,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Sphere,5,1000,5,27.3087,5.46174,5.4122,0.115227,1
2024-12-04-22:54:14,pointer <Lpoint64> unsorted,721810646,numNeighSearch,Circle,5,1000,5,51.4064,10.2813,10.2677,0.139318,1
