date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-13:39:34,linear <Lpoint> ,50122464,neighSearch,Circle,0.2,1000,5,1.3857,0.277139,0.276893,0.00135087,1
2024-12-04-13:39:34,linear <Lpoint> ,50122464,neighSearch,Cube,0.2,1000,5,0.414377,0.0828755,0.0831562,0.00166931,1
2024-12-04-13:39:36,linear <Lpoint> ,50122464,neighSearch,Square,0.2,1000,5,1.3912,0.278239,0.2782,0.000520705,1
2024-12-04-13:39:38,linear <Lpoint> ,50122464,neighSearch,Sphere,0.5,1000,5,2.05464,0.410928,0.410812,0.00221601,1
2024-12-04-13:39:44,linear <Lpoint> ,50122464,neighSearch,Circle,0.5,1000,5,4.34822,0.869643,0.869477,0.00154578,1
2024-12-04-13:39:46,linear <Lpoint> ,50122464,neighSearch,Cube,0.5,1000,5,2.07813,0.415625,0.414668,0.00710831,1
2024-12-04-13:39:51,linear <Lpoint> ,50122464,neighSearch,Square,0.5,1000,5,4.36531,0.873062,0.873914,0.00199187,1
2024-12-04-13:39:59,linear <Lpoint> ,50122464,neighSearch,Sphere,1,1000,5,6.67586,1.33517,1.34607,0.0225422,1
2024-12-04-13:40:14,linear <Lpoint> ,50122464,neighSearch,Circle,1,1000,5,12.1547,2.43094,2.44023,0.0379406,1
2024-12-04-13:40:22,linear <Lpoint> ,50122464,neighSearch,Cube,1,1000,5,6.95244,1.39049,1.3955,0.0200096,1
2024-12-04-13:40:37,linear <Lpoint> ,50122464,neighSearch,Square,1,1000,5,11.9894,2.39788,2.37745,0.0470952,1
2024-12-04-13:40:37,linear <Lpoint> ,50122464,numNeighSearch,Sphere,0.1,1000,5,0.125099,0.0250198,0.0253681,0.000587511,1
2024-12-04-13:40:38,linear <Lpoint> ,50122464,numNeighSearch,Circle,0.1,1000,5,0.609307,0.121861,0.121814,0.000289417,1
2024-12-04-13:40:38,linear <Lpoint> ,50122464,numNeighSearch,Cube,0.1,1000,5,0.120629,0.0241258,0.0242619,0.000360016,1
2024-12-04-13:40:38,linear <Lpoint> ,50122464,numNeighSearch,Square,0.1,1000,5,0.600948,0.12019,0.120387,0.00091989,1
2024-12-04-13:40:39,linear <Lpoint> ,50122464,numNeighSearch,Sphere,0.2,1000,5,0.366601,0.0733203,0.0727244,0.00244025,1
2024-12-04-13:40:40,linear <Lpoint> ,50122464,numNeighSearch,Circle,0.2,1000,5,1.28147,0.256293,0.251242,0.00884651,1
2024-12-04-13:40:41,linear <Lpoint> ,50122464,numNeighSearch,Cube,0.2,1000,5,0.344105,0.068821,0.0687652,0.00249101,1
2024-12-04-13:40:42,linear <Lpoint> ,50122464,numNeighSearch,Square,0.2,1000,5,1.2492,0.249839,0.249045,0.00105816,1
2024-12-04-13:40:44,linear <Lpoint> ,50122464,numNeighSearch,Sphere,0.5,1000,5,1.70726,0.341453,0.338417,0.00648627,1
2024-12-04-13:40:49,linear <Lpoint> ,50122464,numNeighSearch,Circle,0.5,1000,5,3.87061,0.774122,0.772348,0.00794936,1
2024-12-04-13:40:51,linear <Lpoint> ,50122464,numNeighSearch,Cube,0.5,1000,5,1.65748,0.331497,0.332111,0.00138587,1
2024-12-04-13:40:56,linear <Lpoint> ,50122464,numNeighSearch,Square,0.5,1000,5,3.83731,0.767462,0.766315,0.00410769,1
2024-12-04-13:41:03,linear <Lpoint> ,50122464,numNeighSearch,Sphere,1,1000,5,5.85163,1.17033,1.17522,0.0247002,1
2024-12-04-13:41:15,linear <Lpoint> ,50122464,numNeighSearch,Circle,1,1000,5,10.4056,2.08111,2.08129,0.0117502,1
2024-12-04-13:41:22,linear <Lpoint> ,50122464,numNeighSearch,Cube,1,1000,5,5.71805,1.14361,1.13018,0.0343703,1
2024-12-04-13:41:34,linear <Lpoint> ,50122464,numNeighSearch,Square,1,1000,5,10.1535,2.0307,2.03068,0.0167198,1
2024-12-04-13:41:44,pointer <Lpoint> sorted,50122464,neighSearch,Sphere,0.1,1000,5,0.199908,0.0399817,0.0402004,0.00140168,1
2024-12-04-13:41:45,pointer <Lpoint> sorted,50122464,neighSearch,Circle,0.1,1000,5,0.702738,0.140548,0.140527,0.00045167,1
2024-12-04-13:41:45,pointer <Lpoint> sorted,50122464,neighSearch,Cube,0.1,1000,5,0.189203,0.0378407,0.0378337,5.58992e-05,1
2024-12-04-13:41:46,pointer <Lpoint> sorted,50122464,neighSearch,Square,0.1,1000,5,0.704038,0.140808,0.140568,0.0008668,1
2024-12-04-13:41:46,pointer <Lpoint> sorted,50122464,neighSearch,Sphere,0.2,1000,5,0.507521,0.101504,0.100872,0.000860403,1
2024-12-04-13:41:48,pointer <Lpoint> sorted,50122464,neighSearch,Circle,0.2,1000,5,1.43789,0.287578,0.287536,0.00045645,1
2024-12-04-13:41:49,pointer <Lpoint> sorted,50122464,neighSearch,Cube,0.2,1000,5,0.505235,0.101047,0.100701,0.000724037,1
2024-12-04-13:41:51,pointer <Lpoint> sorted,50122464,neighSearch,Square,0.2,1000,5,1.43956,0.287912,0.287877,0.000385188,1
2024-12-04-13:41:53,pointer <Lpoint> sorted,50122464,neighSearch,Sphere,0.5,1000,5,2.15417,0.430835,0.432629,0.002778,1
2024-12-04-13:41:58,pointer <Lpoint> sorted,50122464,neighSearch,Circle,0.5,1000,5,4.36462,0.872924,0.871071,0.0044385,1
2024-12-04-13:42:01,pointer <Lpoint> sorted,50122464,neighSearch,Cube,0.5,1000,5,2.10685,0.421371,0.422205,0.0089672,1
2024-12-04-13:42:06,pointer <Lpoint> sorted,50122464,neighSearch,Square,0.5,1000,5,4.44819,0.889639,0.897089,0.0116505,1
2024-12-04-13:42:14,pointer <Lpoint> sorted,50122464,neighSearch,Sphere,1,1000,5,6.6641,1.33282,1.3323,0.0200654,1
2024-12-04-13:42:28,pointer <Lpoint> sorted,50122464,neighSearch,Circle,1,1000,5,11.6719,2.33439,2.32823,0.0125512,1
2024-12-04-13:42:36,pointer <Lpoint> sorted,50122464,neighSearch,Cube,1,1000,5,6.67593,1.33519,1.33521,0.00403912,1
2024-12-04-13:42:50,pointer <Lpoint> sorted,50122464,neighSearch,Square,1,1000,5,11.7185,2.3437,2.34359,0.0037999,1
2024-12-04-13:42:51,pointer <Lpoint> sorted,50122464,numNeighSearch,Sphere,0.1,1000,5,0.185244,0.0370488,0.0362799,0.00109965,1
2024-12-04-13:42:51,pointer <Lpoint> sorted,50122464,numNeighSearch,Circle,0.1,1000,5,0.649286,0.129857,0.129642,0.000660545,1
2024-12-04-13:42:52,pointer <Lpoint> sorted,50122464,numNeighSearch,Cube,0.1,1000,5,0.186687,0.0373375,0.0370466,0.001032,1
2024-12-04-13:42:52,pointer <Lpoint> sorted,50122464,numNeighSearch,Square,0.1,1000,5,0.70134,0.140268,0.140349,0.000608824,1
2024-12-04-13:42:53,pointer <Lpoint> sorted,50122464,numNeighSearch,Sphere,0.2,1000,5,0.463971,0.0927942,0.0944745,0.00363173,1
2024-12-04-13:42:55,pointer <Lpoint> sorted,50122464,numNeighSearch,Circle,0.2,1000,5,1.30323,0.260645,0.26048,0.000568077,1
2024-12-04-13:42:55,pointer <Lpoint> sorted,50122464,numNeighSearch,Cube,0.2,1000,5,0.465418,0.0930836,0.0935571,0.00177095,1
2024-12-04-13:42:57,pointer <Lpoint> sorted,50122464,numNeighSearch,Square,0.2,1000,5,1.29511,0.259023,0.259015,0.000466511,1
2024-12-04-13:42:59,pointer <Lpoint> sorted,50122464,numNeighSearch,Sphere,0.5,1000,5,1.9548,0.390961,0.389981,0.00286633,1
2024-12-04-13:43:04,pointer <Lpoint> sorted,50122464,numNeighSearch,Circle,0.5,1000,5,3.89005,0.77801,0.778677,0.00185711,1
2024-12-04-13:43:06,pointer <Lpoint> sorted,50122464,numNeighSearch,Cube,0.5,1000,5,1.87867,0.375734,0.373439,0.00965051,1
2024-12-04-13:43:11,pointer <Lpoint> sorted,50122464,numNeighSearch,Square,0.5,1000,5,3.89727,0.779454,0.77993,0.00115956,1
2024-12-04-13:43:18,pointer <Lpoint> sorted,50122464,numNeighSearch,Sphere,1,1000,5,5.86508,1.17302,1.1786,0.0270108,1
2024-12-04-13:43:30,pointer <Lpoint> sorted,50122464,numNeighSearch,Circle,1,1000,5,10.4522,2.09044,2.07629,0.0338337,1
2024-12-04-13:43:37,pointer <Lpoint> sorted,50122464,numNeighSearch,Cube,1,1000,5,5.97476,1.19495,1.18986,0.0384333,1
2024-12-04-13:43:50,pointer <Lpoint> sorted,50122464,numNeighSearch,Square,1,1000,5,10.385,2.07701,2.07176,0.0175804,1
2024-12-04-13:45:59,pointer <Lpoint64> unsorted,50122464,neighSearch,Sphere,0.1,1000,5,0.245249,0.0490497,0.0491791,0.00194016,1
2024-12-04-13:46:00,pointer <Lpoint64> unsorted,50122464,neighSearch,Circle,0.1,1000,5,0.792652,0.15853,0.155943,0.00376567,1
2024-12-04-13:46:00,pointer <Lpoint64> unsorted,50122464,neighSearch,Cube,0.1,1000,5,0.229874,0.0459748,0.0461816,0.000890164,1
2024-12-04-13:46:01,pointer <Lpoint64> unsorted,50122464,neighSearch,Square,0.1,1000,5,0.774156,0.154831,0.154245,0.0070032,1
2024-12-04-13:46:02,pointer <Lpoint64> unsorted,50122464,neighSearch,Sphere,0.2,1000,5,0.57835,0.11567,0.114222,0.00225902,1
2024-12-04-13:46:04,pointer <Lpoint64> unsorted,50122464,neighSearch,Circle,0.2,1000,5,1.58252,0.316504,0.316494,0.00326396,1
2024-12-04-13:46:05,pointer <Lpoint64> unsorted,50122464,neighSearch,Cube,0.2,1000,5,0.597419,0.119484,0.120583,0.00150394,1
2024-12-04-13:46:07,pointer <Lpoint64> unsorted,50122464,neighSearch,Square,0.2,1000,5,1.65344,0.330688,0.330544,0.00170048,1
2024-12-04-13:46:09,pointer <Lpoint64> unsorted,50122464,neighSearch,Sphere,0.5,1000,5,2.23027,0.446053,0.442256,0.0242073,1
2024-12-04-13:46:15,pointer <Lpoint64> unsorted,50122464,neighSearch,Circle,0.5,1000,5,4.58212,0.916423,0.924405,0.0621136,1
2024-12-04-13:46:18,pointer <Lpoint64> unsorted,50122464,neighSearch,Cube,0.5,1000,5,2.20851,0.441703,0.443201,0.0269833,1
2024-12-04-13:46:23,pointer <Lpoint64> unsorted,50122464,neighSearch,Square,0.5,1000,5,4.33509,0.867018,0.888577,0.0292088,1
2024-12-04-13:46:30,pointer <Lpoint64> unsorted,50122464,neighSearch,Sphere,1,1000,5,6.14443,1.22889,1.21178,0.0362605,1
2024-12-04-13:46:43,pointer <Lpoint64> unsorted,50122464,neighSearch,Circle,1,1000,5,10.187,2.0374,2.04674,0.031699,1
2024-12-04-13:46:50,pointer <Lpoint64> unsorted,50122464,neighSearch,Cube,1,1000,5,5.93789,1.18758,1.19577,0.0171938,1
2024-12-04-13:47:02,pointer <Lpoint64> unsorted,50122464,neighSearch,Square,1,1000,5,10.3634,2.07269,2.11346,0.0533229,1
2024-12-04-13:47:02,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Sphere,0.1,1000,5,0.157896,0.0315791,0.031428,0.00122882,1
2024-12-04-13:47:03,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Circle,0.1,1000,5,0.602928,0.120586,0.120804,0.00166825,1
2024-12-04-13:47:03,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Cube,0.1,1000,5,0.182526,0.0365052,0.0374661,0.0018936,1
2024-12-04-13:47:04,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Square,0.1,1000,5,0.623757,0.124751,0.125935,0.00236887,1
2024-12-04-13:47:05,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Sphere,0.2,1000,5,0.441664,0.0883328,0.0888474,0.000928205,1
2024-12-04-13:47:06,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Circle,0.2,1000,5,1.21055,0.242111,0.238943,0.0112801,1
2024-12-04-13:47:07,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Cube,0.2,1000,5,0.38717,0.077434,0.0786353,0.00407877,1
2024-12-04-13:47:08,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Square,0.2,1000,5,1.23737,0.247474,0.245351,0.0066838,1
2024-12-04-13:47:10,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Sphere,0.5,1000,5,1.71827,0.343653,0.339623,0.0112471,1
2024-12-04-13:47:14,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Circle,0.5,1000,5,3.46571,0.693143,0.694313,0.0278975,1
2024-12-04-13:47:16,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Cube,0.5,1000,5,1.62539,0.325078,0.33931,0.0194462,1
2024-12-04-13:47:20,pointer <Lpoint64> unsorted,50122464,numNeighSearch,Square,0.5,1000,5,3.3691,0.67382,0.683176,0.0224193,1
