date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-04-21:29:09,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,0.5,1000,5,0.14125,0.02825,0.0288648,0.00220548,1
2024-12-04-21:29:10,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,0.5,1000,5,0.266988,0.0533977,0.0533925,0.00117315,1
2024-12-04-21:29:10,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,0.5,1000,5,0.145476,0.0290952,0.0293251,0.000710301,1
2024-12-04-21:29:10,pointer <Lpoint> unsorted,10000000,neighSearch,Square,0.5,1000,5,0.280879,0.0561758,0.0561193,0.00248008,1
2024-12-04-21:29:11,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,1,1000,5,0.4235,0.0847,0.0862079,0.00237574,1
2024-12-04-21:29:12,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,1,1000,5,0.687056,0.137411,0.138502,0.00724405,1
2024-12-04-21:29:12,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,1,1000,5,0.453685,0.090737,0.0939962,0.00778346,1
2024-12-04-21:29:13,pointer <Lpoint> unsorted,10000000,neighSearch,Square,1,1000,5,0.664805,0.132961,0.132485,0.00406914,1
2024-12-04-21:29:15,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,2.5,1000,5,1.97587,0.395175,0.383381,0.0270003,1
2024-12-04-21:29:18,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,2.5,1000,5,2.23619,0.447239,0.444765,0.0110076,1
2024-12-04-21:29:20,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,2.5,1000,5,1.81636,0.363273,0.36451,0.00904085,1
2024-12-04-21:29:23,pointer <Lpoint> unsorted,10000000,neighSearch,Square,2.5,1000,5,2.37702,0.475403,0.474826,0.0149012,1
2024-12-04-21:29:31,pointer <Lpoint> unsorted,10000000,neighSearch,Sphere,5,1000,5,6.5993,1.31986,1.31744,0.0640532,1
2024-12-04-21:29:39,pointer <Lpoint> unsorted,10000000,neighSearch,Circle,5,1000,5,6.576,1.3152,1.28589,0.0573798,1
2024-12-04-21:29:47,pointer <Lpoint> unsorted,10000000,neighSearch,Cube,5,1000,5,6.49892,1.29978,1.3127,0.0389869,1
2024-12-04-21:29:55,pointer <Lpoint> unsorted,10000000,neighSearch,Square,5,1000,5,6.98236,1.39647,1.38175,0.0452473,1
2024-12-04-21:29:55,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.100123,0.0200247,0.0197374,0.000754055,1
2024-12-04-21:29:56,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.158478,0.0316955,0.0315468,0.000766983,1
2024-12-04-21:29:56,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.0986756,0.0197351,0.0187604,0.00130503,1
2024-12-04-21:29:56,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,0.5,1000,5,0.189459,0.0378919,0.0379704,0.00100974,1
2024-12-04-21:29:56,pointer <Lpoint> unsorted,10000000,numNeighSearch,Sphere,1,1000,5,0.318029,0.0636058,0.0634477,0.0017308,1
2024-12-04-21:29:57,pointer <Lpoint> unsorted,10000000,numNeighSearch,Circle,1,1000,5,0.44916,0.089832,0.0899254,0.00170873,1
2024-12-04-21:29:57,pointer <Lpoint> unsorted,10000000,numNeighSearch,Cube,1,1000,5,0.335806,0.0671611,0.0669481,0.00121024,1
2024-12-04-21:29:58,pointer <Lpoint> unsorted,10000000,numNeighSearch,Square,1,1000,5,0.452193,0.0904386,0.090852,0.000963074,1
